grid	beetles	birds	relief	latitude	longitude
1	3	261	7.77	36	73
2	5	224	4.27	34	71
3	6	171	5.27	34	75
4	5	326	6.80	34	78
5	3	118	2.16	31	68
6	2	174	2.35	31	71
7	10	116	0.67	31	75
8	38	387	6.37	31	78
9	29	374	5.97	31	80
10	6	341	6.49	31	95
11	1	110	2.13	28	63
12	1	124	1.77	28	67
13	4	145	1.71	28	69
14	1	120	1.71	28	71
15	1	129	0.18	28	75
16	14	166	0.18	28	78
17	25	410	5.42	28	80
18	40	460	7.86	28	83
19	41	480	8.78	27	86
20	58	537	7.01	27	88
21	51	533	7.50	28	91
22	45	518	5.43	26	93
23	3	106	1.25	27	63
24	3	114	1.25	27	67
25	13	140	1.25	27	69
26	1	137	0.27	27	71
27	3	158	0.67	27	75
28	5	165	0.58	27	78
29	8	165	0.67	27	80
30	8	169	0.67	26	83
31	24	179	0.67	26	86
32	25	203	0.67	26	88
33	41	430	1.95	25	91
34	3	105	0.34	23	69
35	3	153	0.73	23	71
36	5	175	1.10	23	75
37	6	178	0.40	23	78
38	11	181	0.40	22	80
39	17	187	0.58	22	83
40	20	203	1.10	22	86
41	29	193	0.73	22	88
42	18	344	1.77	22	91
43	7	155	0.34	21	71
44	4	193	1.25	21	74
45	8	184	0.58	21	77
46	8	181	0.58	21	79
47	8	193	0.58	21	82
48	23	210	1.25	20	85
49	21	211	0.73	19	74
50	8	174	0.40	19	77
51	9	181	0.58	19	79
52	20	196	1.25	19	82
53	33	231	1.25	15	75
54	14	171	0.40	16	77
55	15	187	0.73	16	79
56	39	247	1.25	14	77
57	24	177	1.25	14	79
58	48	232	2.62	11	77
59	27	173	0.73	11	79
60	30	225	1.77	9	78
61	51	193	2.50	7	81
