tank	temp	incr	id	surf.area	tank.grp	inctime	rate	time.period
3	32	0.165671559	A1	7.084	32.3	35	4.733473114	1
3	32	0.027184498	A1	7.084	32.3	25	1.08737992	2
3	32	0.105147583	A1	7.084	32.3	35	3.004216657	3
1	25	0.333394778	A13	7.05	25.1	35	9.525565086	1
1	25	0.318007326	A13	7.05	25.1	25	12.72029304	2
1	25	0.40468997	A13	7.05	25.1	34	11.902646176	3
1	28	0.54009954	A18	8.277	28.1	34	15.885280588	1
1	28	0.54522869	A18	8.277	28.1	26	20.970334231	2
1	28	0.49650176	A18	8.277	28.1	36	13.791715556	3
3	32	0.248763796	A2	8.428	32.3	35	7.107537029	1
3	32	0.017952026	A2	8.428	32.3	25	0.71808104	2
3	32	0.062062721	A2	8.428	32.3	35	1.7732206	3
2	28	0.75911427	A20	8.752	28.2	34	22.326890294	1
2	28	0.68628033	A20	8.752	28.2	26	26.395397308	2
2	28	0.88734302	A20	8.752	28.2	36	24.648417222	3
2	32	0.151822853	A3	7.514	32.2	35	4.3377958	1
2	32	0.050265674	A3	7.514	32.2	25	2.01062696	2
2	32	0.038981543	A3	7.514	32.2	35	1.113758371	3
1	32	0.301594043	A4	7.519	32.1	35	8.616972657	1
1	32	0.04923985	A4	7.519	32.1	25	1.969594	2
1	32	0.08976013	A4	7.519	32.1	35	2.564575143	3
3	28	0.105660499	A5	5.545	28.3	34	3.107661735	1
3	28	0.370837576	A5	5.545	28.3	26	14.262983692	2
3	28	0.612420562	A5	5.545	28.3	36	17.011682278	3
2	25	0.187213991	A8	5.475	25.2	35	5.348971171	1
2	25	0.190291481	A8	5.475	25.2	25	7.61165924	2
2	25	0.41802576	A8	5.475	25.2	34	12.294875294	3
3	25	0.42212908	A9	8.383	25.3	35	12.060830857	1
3	25	0.32826563	A9	8.383	25.3	25	13.1306252	2
3	25	0.46521394	A9	8.383	25.3	34	13.682762941	3
2	32	0.255944607	B10	5.738	32.2	35	7.312703057	1
2	32	0.056420654	B10	5.738	32.2	25	2.25682616	2
2	32	0.064627296	B10	5.738	32.2	35	1.846494171	3
3	25	0.68166409	B13	11.506	25.3	35	19.476116857	1
3	25	0.446749	B13	11.506	25.3	25	17.86996	2
3	25	0.80322496	B13	11.506	25.3	34	23.624263529	3
1	28	0.82066407	B15	12.209	28.1	34	24.137178529	1
1	28	0.91247586	B15	12.209	28.1	26	35.095225385	2
1	28	0.93863453	B15	12.209	28.1	36	26.073181389	3
2	25	0.74475265	B16	11.88	25.2	35	21.278647143	1
2	25	0.56164197	B16	11.88	25.2	25	22.4656788	2
2	25	1.07609576	B16	11.88	25.2	34	31.649875294	3
1	25	0.88939468	B17	14.057	25.1	35	25.411276571	1
1	25	0.64370838	B17	14.057	25.1	25	25.7483352	2
1	25	1.01454596	B17	14.057	25.1	34	29.839587059	3
2	28	1.3228079	B2	13.261	28.2	34	38.906114706	1
2	28	1.27049056	B2	13.261	28.2	26	48.865021538	2
2	28	1.82033549	B2	13.261	28.2	36	50.564874722	3
1	32	0.39032835	B3	7.818	32.1	35	11.152238571	1
1	32	0.00718081	B3	7.818	32.1	25	0.2872324	2
1	32	0.10771216	B3	7.818	32.1	35	3.077490286	3
3	28	0.8796493	B5	12.323	28.3	34	25.872038235	1
3	28	1.00428765	B5	12.323	28.3	26	38.626448077	2
3	28	1.11353856	B5	12.323	28.3	36	30.931626667	3
3	28	0.570361528	C10	10.506	28.3	34	16.775339059	1
3	28	0.656531255	C10	10.506	28.3	26	25.251202115	2
3	28	0.578055255	C10	10.506	28.3	36	16.057090417	3
3	32	0.319033157	C15	11.534	32.3	35	9.115233057	1
3	32	0.035391138	C15	11.534	32.3	25	1.41564552	2
3	32	0.053343164	C15	11.534	32.3	35	1.5240904	3
2	25	0.364682596	C17	8.084	25.2	35	10.419502743	1
2	25	0.375453811	C17	8.084	25.2	25	15.01815244	2
2	25	0.58369732	C17	8.084	25.2	34	17.167568235	3
3	25	0.377505472	C2	7.768	25.3	35	10.785870629	1
3	25	0.223118044	C2	7.768	25.3	25	8.92472176	2
3	25	0.35185972	C2	7.768	25.3	34	10.348815294	3
2	28	0.84528399	C3	10.013	28.2	34	24.861293824	1
2	28	0.79142791	C3	10.013	28.2	26	30.439535	2
2	28	1.50027651	C3	10.013	28.2	36	41.6743475	3
1	28	0.523686259	C8	9.279	28.1	34	15.402537029	1
1	28	0.443671512	C8	9.279	28.1	26	17.064288923	2
1	28	0.58164566	C8	9.279	28.1	36	16.156823889	3
3	32	0.17336528	D1	10.926	32.3	35	4.953293714	1
3	32	0.07129519	D1	10.926	32.3	25	2.8518076	2
3	32	0.13181917	D1	10.926	32.3	35	3.766262	3
1	28	0.44931358	D14	11.509	28.1	34	13.215105294	1
1	28	0.59292979	D14	11.509	28.1	26	22.804991923	2
1	28	0.88939468	D14	11.509	28.1	36	24.705407778	3
2	32	0.10053135	D15	8.862	32.2	35	2.872324286	1
2	32	-0.03641697	D15	8.862	32.2	25	-1.4566788	2
2	32	0.28928409	D15	8.862	32.2	35	8.265259714	3
