weight	trt	block	P	L	N	K
13.9	O	1	absent	absent	absent	absent
14.3	O	2	absent	absent	absent	absent
15.8	O	3	absent	absent	absent	absent
14.2	P	1	present	absent	absent	absent
22.8	P	2	present	absent	absent	absent
22.1	P	3	present	absent	absent	absent
14.7	PK	1	present	absent	absent	present
12.8	PK	2	present	absent	absent	present
13.3	PK	3	present	absent	absent	present
13.6	K	1	absent	absent	absent	present
12.7	K	2	absent	absent	absent	present
15.5	K	3	absent	absent	absent	present
31.7	NK	1	absent	absent	present	present
25.6	NK	2	absent	absent	present	present
25.7	NK	3	absent	absent	present	present
57.9	N	1	absent	absent	present	absent
21.7	N	2	absent	absent	present	absent
31	N	3	absent	absent	present	absent
49.5	NP	1	present	absent	present	absent
35.5	NP	2	present	absent	present	absent
30.7	NP	3	present	absent	present	absent
49.7	NPK	1	present	absent	present	present
38.1	NPK	2	present	absent	present	present
36.3	NPK	3	present	absent	present	present
15.3	L	1	absent	present	absent	absent
19.4	L	2	absent	present	absent	absent
15.9	L	3	absent	present	absent	absent
11.8	LP	1	present	present	absent	absent
23.2	LP	2	present	present	absent	absent
22.7	LP	3	present	present	absent	absent
17.8	LPK	1	present	present	absent	present
21.4	LPK	2	present	present	absent	present
20.6	LPK	3	present	present	absent	present
16.6	LK	1	absent	present	absent	present
20.1	LK	2	absent	present	absent	present
15.1	LK	3	absent	present	absent	present
41.2	LNK	1	absent	present	present	present
59.3	LNK	2	absent	present	present	present
32	LNK	3	absent	present	present	present
43	LN	1	absent	present	present	absent
62.5	LN	2	absent	present	present	absent
37.1	LN	3	absent	present	present	absent
63.8	LNP	1	present	present	present	absent
59.7	LNP	2	present	present	present	absent
41.3	LNP	3	present	present	present	absent
53.4	LNPK	1	present	present	present	present
53.5	LNPK	2	present	present	present	present
58.5	LNPK	3	present	present	present	present
